 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,hw7
Project Path,U:\slei\hw7
Project Fitted on,Thu Mar 01 15:37:04 2007

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,GND,-,,,,,
2,TDI,-,,,,,
3,VCCIO0,-,,,,,
4,I_O,0,B0,*,LVCMOS18,Input,Control20
5,I_O,0,B1,*,LVCMOS18,Input,Control21
6,I_O,0,B2,*,LVCMOS18,Input,Control22
7,I_O,0,B4,*,LVCMOS18,Input,Control23
8,I_O,0,B5,*,LVCMOS18,Input,Control24
9,I_O,0,B6,*,LVCMOS18,Input,Control25
10,GNDIO0,-,,,,,
11,I_O,0,B8,*,LVCMOS18,Input,Control26
12,I_O,0,B9,*,LVCMOS18,Input,Control27
13,I_O,0,B10,*,LVCMOS18,Input,Control28
14,I_O,0,B12,*,LVCMOS18,Input,Control29
15,I_O,0,B13,,,,
16,I_O,0,B14,*,LVCMOS18,Output,AccumAddr7
17,NC,-,,,,,
18,GNDIO0,-,,,,,
19,VCCIO0,-,,,,,
20,NC,-,,,,,
21,I_O,0,C14,*,LVCMOS18,Output,AccumAddr6
22,I_O,0,C13,*,LVCMOS18,Output,AccumAddr5
23,I_O,0,C12,*,LVCMOS18,Output,AccumAddr4
24,I_O,0,C10,*,LVCMOS18,Output,AccumAddr3
25,I_O,0,C9,*,LVCMOS18,Output,AccumAddr2
26,I_O,0,C8,*,LVCMOS18,Output,AccumAddr1
27,GNDIO0,-,,,,,
28,I_O,0,C6,*,LVCMOS18,Output,AccumAddr0
29,I_O,0,C5,*,LVCMOS18,Output,AccumAddr12
30,I_O,0,C4,*,LVCMOS18,Output,AccumAddr11
31,I_O,0,C2,*,LVCMOS18,Output,AccumAddr10
32,I_O,0,C1,*,LVCMOS18,Output,AccumAddr9
33,I_O,0,C0,*,LVCMOS18,Output,AccumAddr8
34,VCCIO0,-,,,,,
35,TCK,-,,,,,
36,VCC,-,,,,,
37,GND,-,,,,,
38,NC,-,,,,,
39,I_O,0,D14,,,,
40,I_O,0,D13,*,LVCMOS18,Input,Reset
41,I_O,0,D12,,,,
42,I_O,0,D10,*,LVCMOS18,Output,Flags7
43,I_O,0,D9,*,LVCMOS18,Output,Flags6
44,I_O,0,D8,*,LVCMOS18,Output,Flags5
45,NC,-,,,,,
46,GNDIO0,-,,,,,
47,VCCIO0,-,,,,,
48,I_O,0,D6,*,LVCMOS18,Output,Flags4
49,I_O,0,D5,*,LVCMOS18,Output,Flags3
50,I_O,0,D4,*,LVCMOS18,Output,Flags2
51,I_O,0,D2,*,LVCMOS18,Output,Flags1
52,I_O,0,D1,*,LVCMOS18,Output,Flags0
53,I_O,0,D0,,,,
54,INCLK1,0,,,,,
55,GNDIO1,-,,,,,
56,INCLK2,1,,,,,
57,VCC,-,,,,,
58,I_O,1,E0,*,LVCMOS18,Output,SReg7
59,I_O,1,E1,*,LVCMOS18,Output,SReg6
60,I_O,1,E2,*,LVCMOS18,Output,SReg5
61,I_O,1,E4,*,LVCMOS18,Output,SReg4
62,I_O,1,E5,*,LVCMOS18,Output,SReg3
63,I_O,1,E6,*,LVCMOS18,Output,SReg2
64,VCCIO1,-,,,,,
65,GNDIO1,-,,,,,
66,I_O,1,E8,*,LVCMOS18,Output,SReg1
67,I_O,1,E9,*,LVCMOS18,Output,SReg0
68,I_O,1,E10,*,LVCMOS18,Output,XReg7
69,I_O,1,E12,*,LVCMOS18,Output,XReg6
70,I_O,1,E13,*,LVCMOS18,Output,XReg5
71,I_O,1,E14,*,LVCMOS18,Output,XReg4
72,NC,-,,,,,
73,GND,-,,,,,
74,TMS,-,,,,,
75,VCCIO1,-,,,,,
76,I_O,1,F0,*,LVCMOS18,Output,XReg3
77,I_O,1,F1,*,LVCMOS18,Output,XReg2
78,I_O,1,F2,*,LVCMOS18,Output,XReg1
79,I_O,1,F4,*,LVCMOS18,Output,XReg0
80,I_O,1,F5,*,LVCMOS18,Input,DataOff7
81,I_O,1,F6,*,LVCMOS18,Input,DataOff6
82,GNDIO1,-,,,,,
83,I_O,1,F8,*,LVCMOS18,Input,DataOff5
84,I_O,1,F9,*,LVCMOS18,Input,DataOff4
85,I_O,1,F10,*,LVCMOS18,Input,DataOff3
86,I_O,1,F12,*,LVCMOS18,Input,DataOff2
87,I_O,1,F13,*,LVCMOS18,Input,DataOff1
88,I_O,1,F14,*,LVCMOS18,Input,DataOff0
89,NC,-,,,,,
90,GNDIO1,-,,,,,
91,VCCIO1,-,,,,,
92,NC,-,,,,,
93,I_O,1,G14,*,LVCMOS18,Input,AddrData7
94,I_O,1,G13,*,LVCMOS18,Input,AddrData6
95,I_O,1,G12,*,LVCMOS18,Input,AddrData5
96,I_O,1,G10,*,LVCMOS18,Input,AddrData4
97,I_O,1,G9,*,LVCMOS18,Input,AddrData3
98,I_O,1,G8,*,LVCMOS18,Input,AddrData2
99,GNDIO1,-,,,,,
100,I_O,1,G6,*,LVCMOS18,Input,AddrData1
101,I_O,1,G5,*,LVCMOS18,Input,AddrData0
102,I_O,1,G4,*,LVCMOS18,Input,AddrData12
103,I_O,1,G2,*,LVCMOS18,Input,AddrData11
